Code,Developer comments,Context of the comments,How the code is related to the comment
DocumentationSearch,So PyDP. Introduction to PyDP,PyDP - 00:15,Starting documentation review
InstallationAssumed,I have you already installed it I assume,Setup,Checking environment
APIUnderstanding,The impression so far I've gotten is that PyDP seems to work where you create your own instantiated version of a statistical test and then you can pass it some data,PyDP - 00:15,Understanding API pattern
ExampleCode,That is the whole page. What does the GitHub say?,PyDP Documentation,Looking for more examples
DataExploration,I'm gonna have a quick look at the data set just to see how it is structured,Data Understanding,Exploring data format
DataExploration,Aid work class oh. Not sure what does this number mean final weight,Data Understanding,Understanding columns
DataExploration,"Big long, massive CSV",Data Understanding,Noting data size
TaskSimplicity,"So just get all of the individuals who have more than 50K income. OK, that sounds really simple",Task 1 Understanding,Task seems simple
PrivacyConceptLearning,"The function means that instead of getting the actual number, I will get the number with like a little bit of statistical fuzz",Task 1 Understanding,Understanding noise addition
ExampleCodeComplexity,So these are actually all doing significantly more complicated things. It's nothing I need to do,PyDP Examples,Examples too complex
ImportRequirements,"You have to manually import your different algorithms. Unless, which seems odd to me",PyDP API,Odd import structure
ImportRequirements,Maybe they're just being explicit because it's a tutorial I wouldn't normally expect to have to import the thing and then also import all of its like separate algorithms,PyDP API,Import pattern unexpected
ExampleCodeGap,Bounded sum sounds promising,PyDP API,Finding relevant function
ExampleCodeComplexity,"They made a whole class and that's really cool, but it's so much more complicated than what I need",PyDP Examples,Examples overly complex
ExampleCodeGap,"It would be nice to have an example that is slightly more complicated than this, but is slightly less complicated than this",PyDP Examples,Missing intermediate examples
ExampleCodeGap,Like the baseline example in their repository is real simple and the first line. But then the full example jumps to a complete class structure. There's no middle ground,PyDP Examples,Gap between simple and complex
EcosystemIntegration,Pandas is useful for reading CSVs. Do I need pandas? Does this not have the ability to?,PyDP - CSV Reading,No CSV reading capability
EcosystemIntegration,"OK, so this doesn't have the ability to directly read CSVs, so I'm going to have to use another tool",PyDP - CSV Reading,Need pandas for CSV
CopyPasteIssue,This is codes that do we not want to copy and paste,Technical Issues,Copy-paste problems
CopyPasteIssue,"It might be something that, like Firefox High Security mode is breaking",Technical Issues,Browser security blocking paste
ErrorOccurred,Data frame is not defined,Implementation,Error during coding
ErrorOccurred,I appear to have done something wrong,Implementation,Debugging
