Code,Developer comments,Context of the comments,How the code is related to the comment
TheoryPracticeGap,"In Academia: Prove algorithms achieve DP. Success: Publish paper. Assumptions: Bounded adversary static datasets. Deliverable: Theorem proof experiments. In Industry: Ship product. Success: Users trust us no breaches system works. Reality: Messy data Byzantine failures organizational constraints. Deliverable: Running system 99.9% uptime",Theory vs Practice Gap - 00:05,Different worlds
TheoryPracticeGap,These libraries are built by academics for academics. They implement theorems not production systems,Theory vs Practice Gap - 00:05,Design philosophy
TheoryDoesntAnswerPractice,"The theorem answers none of these questions! Questions like: What epsilon? What if data has outliers? How to explain to stakeholders? How to know if result is useful? What if multiple queries? How to debug? What's performance? How to deploy?",Task 1 - Academic Perspective - 00:20,Practical questions ignored
NoBridgeToUsers,"In my PhD: We achieve epsilon=1.0 delta=10^-6. In industry: PM asks What does that mean for users? Can someone deduce if Alice was in dataset? I say it's complicated. No Bridge Between Math and User Impact. Theory gives epsilon. Users want: Am I safe? Libraries don't help translate",Task 1 - Academic Perspective - 00:20,Communication gap
DocumentationForExperts,"What academic documentation provides: Parameters epsilon float Privacy parameter. This is technically correct but useless for practitioners! What practitioners need: Privacy level. Smaller=more private noisier. Typical values explained. Trade-off quantified. Auto estimation feature. The second actually helps!",Documentation - 00:45,Documentation mismatch
DocumentationForExperts,"Math notation lots. Algorithm pseudocode yes. Theorems and proofs yes. Practical examples no. Decision guides no. Trade-off explanations no. Real-world use cases no. The documentation is written for people who already have PhDs in DP!",Documentation - 00:45,Expert-only docs
AcademicIncentives,"How DP libraries get built: Professor has idea. PhD student proves theorem implements for paper. Paper published. Student graduates. Research group releases library. Student's code cleaned up slightly. Next student maintains maybe. Eventually no one maintains. Library stagnates",Research Paper Problem - 01:10,Academic lifecycle
AcademicIncentives,"This is why we have: Pre-1.0 forever Academic documentation No enterprise features Missing practical features Abandonment. Professors get tenure for papers not libraries. Students graduate and leave. No incentive for: Boring features Documentation Long-term support User support",Research Paper Problem - 01:10,Misaligned incentives
ResearcherMisconceptions,"Users will read docs. Reality: Developers skim copy-paste hope. Users understand DP theory. Reality: Never heard of DP. Performance doesn't matter. Reality: Systems need to scale. Users choose parameters carefully. Reality: Pick first example value. Users use correctly. Reality: Find creative ways to misuse. Users report bugs properly. Reality: It doesn't work no context. Research code good enough. Reality: Production needs reliable maintainable monitored tested documented secure scalable",Researcher Misconceptions - 01:30,Understanding gap
ResearcherMisconceptions,These libraries embody all these misconceptions. Researchers Build for Researchers Not Practitioners,Researcher Misconceptions - 01:30,Core problem
UtilityProblem,"Some groups have only 50 people. With epsilon=0.0625 noise is huge! In Academia: We prove expected error O(sensitivity/epsilon). In Industry: The results are garbage. Noise too large. Users will complain. Fundamental tension: Privacy requires noise. Utility requires low noise. For small groups can't have both",Task 2 - Utility Problem - 01:45,Privacy-utility tradeoff
NoUtilityGuidance,"The library doesn't tell me: Will results be useful? How to balance privacy/utility? When to not release statistic? In research papers we show privacy-utility curves. But libraries don't provide tools to estimate utility before running!",Task 2 - Utility Problem - 01:45,Missing utility estimation
BridgingTheGap,"What Academia Should Do: Involve practitioners early. Co-design with users. Separate theory from engineering. Incentivize maintenance. Teach practical DP. Industry internships. What Industry Should Do: Fund open source. Contribute back. Hire DP experts. Provide feedback. Build on research. What Library Developers Should Do: User research. Practitioner documentation. Sane defaults. Utility estimation. Guardrails. Real-world examples",Bridging the Gap - 01:55,Comprehensive solutions
CommercialSolution,The real solution is commercial entities. Academic libraries will always be research tools. We need companies building production DP platforms informed by research but designed for industry. That's the model that works: Research PostgreSQL Commercial databases. Research Hadoop Databricks. Research ML algorithms Commercial platforms. We need the same for DP,Bridging the Gap - 01:55,Market-based solution
