Code,Developer comments,Context of the comments,How the code is related to the comment
LackOfKnowledge,I've heard a lot about differential privacy but never actually implemented it,Session Start,Developer lacks practical DP experience
BackgroundMismatch,My background is mostly in standard data science work with Pandas and Scikit-Learn,Session Start,Data science background without privacy experience
NonPrivateComparison,"In regular Pandas, I'd just do df[df['income'] == '>50K'].shape[0] or use value_counts(). Simple stuff",Task Understanding ,Familiar non-private approach
LibraryExpectation,"I read that it mimics Scikit-Learn and NumPy, which sounds familiar",IBM DiffPrivLib,Expectation of familiar API
APIMisuse,TypeError: count_nonzero() got an unexpected keyword argument 'epsilon',IBM DiffPrivLib Task A,Wrong function usage
HowShouldIUseThis,I thought the whole point of the tools module was to provide DP versions of NumPy functions?,IBM DiffPrivLib Task A,Confusion about API design
MissingDocumentation,I don't actually see count_nonzero listed as a main DP function,IBM DiffPrivLib Task A,Function availability unclear
FrustrationExpressed,This is frustrating. I just want to count things. That's literally the simplest statistical operation,IBM DiffPrivLib Task A,Basic operation missing
WorkaroundRequired,"A count is really just a sum of ones, right? Or I could use a histogram",IBM DiffPrivLib Task A,Developer devises workaround
TypeConversionRequired,"Right, histograms work with numbers, not strings. The income column has string values",IBM DiffPrivLib Task A,String data incompatibility
TypeConversionRequired,So I need to convert the categorical variable to numeric first. This is already more work than I expected,IBM DiffPrivLib Task A,Extra conversion work
PrivacyWarning,PrivacyLeakWarning: Range parameter has not been specified. This will result in additional privacy leakage,IBM DiffPrivLib Task A,Warning about privacy leak
PrivacyConceptLearning,'Privacy leakage'? That sounds really bad. What does this mean exactly?,IBM DiffPrivLib Task A,Learning from warning
PrivacyConceptLearning,"Even though the range is 'obvious' to me as a human, the library doesn't know that",IBM DiffPrivLib Task A,Understanding privacy leak concept
PrivacyConceptLearning,"If it computes min/max from the data, that computation itself could reveal something about individuals",IBM DiffPrivLib Task A,Grasping subtle privacy point
BoundsConfiguration,"To do this 'correctly', I need to specify the range explicitly",IBM DiffPrivLib Task A,Learning bounds requirement
OutputTypeConfusion,Why is it a float? You can't have 0.91234 of a person,IBM DiffPrivLib Task A,Confusion about noisy output
ImplementationSuccess,"I guess that's the noise? So the actual count might be 11,687 or 11,688",IBM DiffPrivLib Task A,Understanding noisy results
CognitiveOverhead,"This was more complicated than I expected... For someone who just wants to 'add privacy' to their existing Pandas workflow, this is a lot of cognitive overhead",IBM DiffPrivLib Task A,Summarizing complexity
GroupByMissing,Searching the documentation for 'groupby'... I'm not finding anything,IBM DiffPrivLib Task B,Missing groupby functionality
GroupByMissing,This is concerning. GroupBy is like the most fundamental operation in data analysis,IBM DiffPrivLib Task B,Critical feature missing
WorkaroundRequired,"So if I want means by education level, I'd have to loop through each education level and compute the mean separately?",IBM DiffPrivLib Task B,Manual loop workaround
BudgetManagement,I'm already worried about the privacy budget implications,IBM DiffPrivLib Task B,Budget concern
CompositionAwareness,"I'm running dp_tools.mean 16 times, each with epsilon=1.0. Doesn't the privacy budget accumulate?",IBM DiffPrivLib Task B,Discovering composition issue
CompositionAwareness,"If I run 16 queries each with epsilon=1.0, my total privacy loss would be 16.0, not 1.0",IBM DiffPrivLib Task B,Understanding composition
BudgetSplitting,I guess I need to divide my epsilon by the number of groups? So epsilon_per_group = 1.0 / 16 = 0.0625,IBM DiffPrivLib Task B,Attempting budget split
UtilityProblem,"The results are terrible. For 'Preschool', the average age is 243.7. For 'Doctorate', it's -45.2",IBM DiffPrivLib Task B,Nonsensical noisy results
UtilityProblem,The noise is completely overwhelming the signal because epsilon is so small,IBM DiffPrivLib Task B,Noise dominates signal
CompositionAwareness,"If I'm computing means on disjoint subsets, shouldn't I be able to use parallel composition?",IBM DiffPrivLib Task B,Recognizing parallel composition
TypeStrictness,TypeError: Incompatible function arguments. The function expects specific types,PyDP Task A,Strict type requirements
TypeConversionRequired,"This is a C++ wrapper, so it probably expects specific C++ types",PyDP Task A,Understanding C++ wrapper
TypeConversionRequired,Does Count only work with numeric data?,PyDP Task A,Numeric limitation question
MentalModelMismatch,The Count algorithm just counts how many elements are in the list. It doesn't count how many elements satisfy a condition,PyDP Task A,Count behavior mismatch
MentalModelMismatch,I need to filter the list first and then pass the filtered list to Count,PyDP Task A,Required preprocessing
MentalModelMismatch,PyDP isn't really a 'query engine' - it's more like a 'noise adder',PyDP Task A,Library paradigm understood
