Code,Developer comments,Context of the comments,How the code is related to the comment
LackOfKnowledge,"This is the first time I've done a project like that, so no",Survey - 00:00,No prior DP experience
LackOfKnowledge,"I've read the little briefing that we have here, but that is where my knowledge ends",Survey - 00:00,Limited DP knowledge
LearningConfidence,I should be fine picking them up quite quickly,Survey - 00:00,Confident about learning new tools
ExampleCode,It doesn't point to a documentation website... It does have examples which is the first thing I'm going to go to,PyDP,Looking for examples first
ExampleCodeGap,It's given me a bit of information... for the first class I feel the carrots demo is quite usable,PyDP,Finding relevant example
ExampleCodeComplexity,"They made a whole class and that's really cool, but it's so much more complicated than what I need",PyDP,Examples too complex
ExampleCodeGap,"It would be nice to have an example that is slightly more complicated than the baseline, but is slightly less complicated than this full class implementation",PyDP,Missing intermediate examples
ExampleCodeGap,"The baseline example in their repository is real simple and the first line, but then the full example jumps to a complete class structure. There's no middle ground",PyDP,Gap between simple and complex examples
EcosystemIntegration,"OK, so this doesn't have the ability to directly read CSVs, so I'm going to have to use another tool",PyDP,No CSV reading capability
DataFormatIssue,I can't see the column names,PyDP,Dataset issues
DataFormatIssue,"After the comma for the income, there is a space between comma and less than",PyDP,Data format nuance
DataFormatIssue,I would have spent a while like trying to notice that,PyDP,Subtle data issues
DocumentationStructure,"If there was documentation, could I feel like the documentation just sent me into example codes? Maybe I'm just looking in the wrong place",PyDP,Documentation navigation issues
PrivacyParameterConfiguration,"Now the privacy budget. So I mean, am I allowed to put any value for that?",PyDP,Uncertainty about epsilon
PrivacyParameterConfiguration,"It says typical values include 0.1 for strong privacy, 1.0 for standard privacy. So I guess I'll put a one as I don't really understand",PyDP,Using default without understanding
PrivacyParameterConfiguration,Delta is privacy failure possibility. I mean zero seems like an interesting number,PyDP,Uncertain about delta parameter
BoundsConfiguration,In the example they've just done zero to 100. And in their data they have 180 things I'm not too sure what's going on there,PyDP,Confusion about bounds
ErrorMessagesUnhelpful,The error message isn't very clear. It says something about the data format but doesn't tell me exactly what's wrong or how to fix it,PyDP,Unhelpful error message
FrustrationExpressed,This is frustrating - I'm not sure what the library expects,PyDP,Frustration from unclear errors
DocumentationSearch,Let me try a different approach. Maybe I need to understand how PyDP expects the data to be formatted. The documentation doesn't clearly explain this,PyDP,Documentation gaps
LibrarySwitch,"OK, let me try IBM DiffPrivLib instead. Maybe it will be clearer",IBM DiffPrivLib,Switching libraries
HowShouldIUseThis,"Wait, how do I use this? The documentation says count(array, epsilon=...) but I need to count rows that match a condition",IBM DiffPrivLib,Unclear function usage
HowShouldIUseThis,"I think I need to filter the data first, then count the length, and apply DP to that count? Or can I pass a boolean array?",IBM DiffPrivLib,Multiple possible approaches
ClarityOfDocumentation,The documentation isn't super clear. It says 'count' but doesn't show a clear example of counting filtered rows,IBM DiffPrivLib,Missing use case example
WorkaroundRequired,Maybe I should use mechanisms directly? Let me look at what's available,IBM DiffPrivLib,Resorting to lower-level API
